Y Chromosome	"Y Chromosome	0	12	GO_ontology"	"[{""token"": ""Y Chromosome"", ""start_span"": 0, ""end_span"": 12, ""type"": ""GO_ontology""}]"
The antibody also recognized a band corresponding to the size of endogenous Snail ( approximately 28 kDa) in lysates from embryonic mouse skin, the temporal appearance of which corresponded to the waves of hair follicle morphogenesis from E15. 5 to newborn when over 90% of the hair on the mouse is formed ( Figure 1B).	"antibody	4	12	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 4, ""end_span"": 12, ""type"": ""GO_ontology""}]"
Consistent with the in situ hybridization results, anti - Snail antibody labeled only hair buds and not follicles at more mature stages of development ( Figure 1E).	"antibody	64	72	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 64, ""end_span"": 72, ""type"": ""GO_ontology""}]"
Taken together, the anti - Snail antibody appeared to be specific for its target protein.	"antibody	33	41	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 33, ""end_span"": 41, ""type"": ""GO_ontology""}]"
As judged by immunohistochemistry, Snail protein was localized to the nuclei of the hair bud cells ( Figure 1E).	"nuclei	70	76	GO_ontology"	"[{""token"": ""nuclei"", ""start_span"": 70, ""end_span"": 76, ""type"": ""GO_ontology""}]"
Immunohistochemistry with antibodies against the active ( phosphorylated) form of MAPK ( pMAPK) marked a subset of the proliferating ( Ki67 - positive) cells, and pMAPK - positive cells were enriched in the hair bud ( Figure 1G).	"antibodies	26	36	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 26, ""end_span"": 36, ""type"": ""GO_ontology""}]"
The mosaic morphology was reflected at the level of Tg Snail protein, with only the hyperthickened regions expressing nuclear HA - tagged Snail ( Figure 2C).	"nuclear	118	125	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 118, ""end_span"": 125, ""type"": ""GO_ontology""}]"
The undulations were accompanied by partial dissolution of the underlying basement membrane ( Figure 3K and 3L).	"basement membrane	74	91	GO_ontology"	"[{""token"": ""basement membrane"", ""start_span"": 74, ""end_span"": 91, ""type"": ""GO_ontology""}]"
Interestingly, similar types of alterations occur in the basement membrane in the hair bud of embryonic and newborn mice when Snail is normally expressed.	"basement membrane	57	74	GO_ontology"	"[{""token"": ""basement membrane"", ""start_span"": 57, ""end_span"": 74, ""type"": ""GO_ontology""}]"
The fact that the basement membrane separating the epidermis from the dermis is altered only in the adult Tg animals suggests the involvement of intermediary factors not as readily available in the epidermis as they are in the follicle.	"basement membrane	18	35	GO_ontology"	"[{""token"": ""basement membrane"", ""start_span"": 18, ""end_span"": 35, ""type"": ""GO_ontology""}]"
Possible Links between Epidermal Hyperproliferation and Down - regulation of AJ Proteins in Snail Tg Mice	"AJ	77	79	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 77, ""end_span"": 79, ""type"": ""GO_ontology""}]"
Given that the E - cadherin promoter is a direct target for Snail - mediated repression in vitro [ 4, 12, 13], and that E - cadherin was down - regulated in Snail - expressing hair buds, we examined the status of E - cadherin and other AJ proteins within regions of hyperproliferative epidermis where Tg Snail was present ( Figure 4A).	"AJ	236	238	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 236, ""end_span"": 238, ""type"": ""GO_ontology""}]"
A priori, the decrease in alpha - catenin levels could be due to either direct transcriptional repression by Snail or perturbations in AJ formation caused by the decrease in E - cadherin gene expression.	"AJ	135	137	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 135, ""end_span"": 137, ""type"": ""GO_ontology""}]"
As shown in Figure 4C, transiently transfected keratinocytes expressing HA - tagged Snail displayed a loss of E - cadherin and alpha - catenin at cell - cell borders.	"cell - cell borders	146	165	GO_ontology"	"[{""token"": ""cell - cell borders"", ""start_span"": 146, ""end_span"": 165, ""type"": ""GO_ontology""}]"
In this respect, the skin epithelium resembled that of the hair bud, where the down - regulation in junction proteins is permissive for cell - cell remodeling without abrogating intercellular adhesion.	"junction	100	108	GO_ontology"	"[{""token"": ""junction"", ""start_span"": 100, ""end_span"": 108, ""type"": ""GO_ontology""}]"
The similarities between Snail Tg epidermis and hair buds extended to the hyperproliferative state, leading us to wonder whether the down - regulation of AJ proteins might contribute to this condition.	"AJ	154	156	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 154, ""end_span"": 156, ""type"": ""GO_ontology""}]"
Numerous studies have correlated a down - regulation of E - cadherin with a translocation of beta - catenin to the nucleus and a transactivation of genes that are regulated by the LEF - 1 / T cell factor ( TCF) family of DNA binding proteins [ 23, 24, 25].	"nucleus	115	122	GO_ontology"	"[{""token"": ""nucleus"", ""start_span"": 115, ""end_span"": 122, ""type"": ""GO_ontology""}]"
The presence of nuclear cyclin D in hyperproliferative Snail Tg epidermis was particularly intriguing since prior studies have reported cyclin D gene as a direct target of TCF / beta - catenin transcription [ 26].	"nuclear	16	23	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 16, ""end_span"": 23, ""type"": ""GO_ontology""}]"
This said, we did not detect nuclear beta - catenin in our Tg epidermis, and mating the Snail Tg mice against the TOPGal reporter mouse [ 20] gave no signs of ectopic LEF - 1 / Tcf / beta - catenin activity ( unpublished data).	"nuclear	29	36	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 29, ""end_span"": 36, ""type"": ""GO_ontology""}]"
We next turned to the presence of cytoplasmic Ajuba for a possible mechanistic link to the proliferative increase in our Snail Tg epidermis.	"cytoplasmic	34	45	GO_ontology"	"[{""token"": ""cytoplasmic"", ""start_span"": 34, ""end_span"": 45, ""type"": ""GO_ontology""}]"
These data suggested that by elevating cytosolic Ajuba levels, Ajuba ' s pre - LIM domain may associate with Grb - 2 / Sos in a manner that stimulates its nucleotide exchange activity and leads to activation of the Ras - MAPK pathway.	"cytosolic	39	48	GO_ontology"	"[{""token"": ""cytosolic"", ""start_span"": 39, ""end_span"": 48, ""type"": ""GO_ontology""}]"
Although this pathway provides one mechanism by which Snail expression and proliferation may be coupled in skin epithelium, proliferative circuitries involving AJs are known to be complex and often interwoven.	"AJs	160	163	GO_ontology"	"[{""token"": ""AJs"", ""start_span"": 160, ""end_span"": 163, ""type"": ""GO_ontology""}]"
A variety of extracellular signals have an impact on the cell type - specific expression of different Snail family members, and many of them, including Wnts, BMPs, FGFs, and TGF - beta s, also affect hair bud development [ 2, 16, 28].	"extracellular	13	26	GO_ontology"	"[{""token"": ""extracellular"", ""start_span"": 13, ""end_span"": 26, ""type"": ""GO_ontology""}]"
Consistent with previous observations [ 33], an anti - TGF - beta 2 antibody labeled developing hair buds ( Figure 6A).	"antibody	68	76	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 68, ""end_span"": 76, ""type"": ""GO_ontology""}]"
As shown in Figure 6I and 6J, both WT and TGF - beta 2 null buds exhibited nuclear LEF - 1 and beta - catenin localization, signs that the Wnt - noggin signaling pathway was intact.	"nuclear	75	82	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 75, ""end_span"": 82, ""type"": ""GO_ontology""}]"
Recent studies on hair bud morphogenesis suggest that Wnt signals likely from the epithelium and BMP inhibitory signals from the underlying mesenchyme converge to produce an active transcription factor complex involving beta - catenin and LEF - 1, which in turn plays a key role in specifying the hair follicle fate [ 4, 29, 30, 36, 37].	"transcription factor complex	181	209	GO_ontology"	"[{""token"": ""transcription factor complex"", ""start_span"": 181, ""end_span"": 209, ""type"": ""GO_ontology""}]"
Additional contributing factors could be the multiplicity of Snail family members and their differential expression, the saturation, and / or diversity of regulatory mechanisms that govern AJ formation, migration, and proliferation in the follicle ORS.	"AJ	189	191	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 189, ""end_span"": 191, ""type"": ""GO_ontology""}]"
Because the timing of this event correlated with the activation of a LEF - 1 / beta - catenin transcription factor complex [ 20], we were intrigued by the presence of a putative LEF - 1 / TCF binding site in the E - cadherin promoter.	"transcription factor complex	94	122	GO_ontology"	"[{""token"": ""transcription factor complex"", ""start_span"": 94, ""end_span"": 122, ""type"": ""GO_ontology""}]"
Our Tg studies suggested that, at least in part through its regulation of E - cadherin, Snail is able to influence the subcellular localization of a variety of AJ - associated proteins.	"AJ	160	162	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 160, ""end_span"": 162, ""type"": ""GO_ontology""}]"
The corresponding abilities of either Snail - transfected or Ajuba - transfected keratinocytes to exhibit elevated activation of the Ras - MAPK pathway suggest that the Grb - 2 association of Ajuba under conditions of reduced levels of AJ proteins may be directly relevant to the parallel in hyperproliferation.	"AJ	236	238	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 236, ""end_span"": 238, ""type"": ""GO_ontology""}]"
Irrespective of these differences, our in vivo studies do not stand alone, as there are many situations in which a down - regulation in AJ proteins correlate with enhanced proliferation.	"AJ	136	138	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 136, ""end_span"": 138, ""type"": ""GO_ontology""}]"
In fact, a myriad of diverse mechanisms have been implicated in activating epithelial proliferation upon down - regulation of AJ proteins [ 7, 23, 24, 48].	"AJ	126	128	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 126, ""end_span"": 128, ""type"": ""GO_ontology""}]"
FITC -, Texas Red -, or HRP - conjugated secondary antibodies were from Jackson ImmunoResearch ( West Grove, Pennsylvania, United States).	"antibodies	51	61	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 51, ""end_span"": 61, ""type"": ""GO_ontology""}]"
Biotinylated secondary antibodies were from Vector Labs ( Burlingame, California, United States).	"antibodies	23	33	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 23, ""end_span"": 33, ""type"": ""GO_ontology""}]"
The Snail antibody was generated in Guinea pigs by inoculating them with the N - terminal sequence of murine Snail fused to GST ( Covance, Princeton, New Jersey, United States).	"antibody	10	18	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 10, ""end_span"": 18, ""type"": ""GO_ontology""}]"
The linearized construct was injected into the nucleus of embryos from CD1 mice.	"nucleus	47	54	GO_ontology"	"[{""token"": ""nucleus"", ""start_span"": 47, ""end_span"": 54, ""type"": ""GO_ontology""}]"
Extracts subjected to immunoprecipitation were precleared with Protein G Sepharose ( Amersham, Piscataway, New York, United States) and incubated with antibody with rocking overnight at 4 degrees C.	"antibody	151	159	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 151, ""end_span"": 159, ""type"": ""GO_ontology""}]"
Samples were washed three times for 5 min each in lysis buffer, and the Protein G Sepharose - antibody - antigen pellet was resuspended in Laemmli buffer and boiled for 10 min.	"antibody	94	102	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 94, ""end_span"": 102, ""type"": ""GO_ontology""}]"
The sections were fixed with 4% PFA for 10 min at room temperature, prehybridized at room temperature for 4. 5 h, hybridized with the probe ( 2 mu g / ml) at 55 degrees C for 12 - 14 h, blocked with 10% NGS, and treated with anti - dig Fab - AP antibody ( Roche # 1093274) at a 1: 2, 500 dilution for 3 h.	"antibody	245	253	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 245, ""end_span"": 253, ""type"": ""GO_ontology""}]"
Sections were fixed in 4% paraformaldehyde for 10 min at room temperature, blocked, and stained with antibodies.	"antibodies	101	111	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 101, ""end_span"": 111, ""type"": ""GO_ontology""}]"
Samples were sectioned on a microtome ( 10 mu m thick) and rehydrated prior to staining with antibody.	"antibody	93	101	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 93, ""end_span"": 101, ""type"": ""GO_ontology""}]"
We thank M Takeichi, P Coulombe, G Longmore, and L Gold for sharing their antibodies, and AG de Herreros for the Snail construct.	"antibodies	74	84	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 74, ""end_span"": 84, ""type"": ""GO_ontology""}]"
Black dotted lines demarcate the basement membrane that separates the epidermis ( epi) from dermis ( der).	"basement membrane	33	50	GO_ontology"	"[{""token"": ""basement membrane"", ""start_span"": 33, ""end_span"": 50, ""type"": ""GO_ontology""}]"
Equal amounts of proteins were then resolved by SDS - PAGE through 12% gels and subjected to Western blotting using either an affinity - purified Snail polyclonal antiserum, which we generated, or anti - tubulin ( loading control).	"tubulin	204	211	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 204, ""end_span"": 211, ""type"": ""GO_ontology""}]"
( C - E) Immunohistochemistry shows expression of Snail protein in the nuclei of cells within the hair and skin.	"nuclei	71	77	GO_ontology"	"[{""token"": ""nuclei"", ""start_span"": 71, ""end_span"": 77, ""type"": ""GO_ontology""}]"
At the leading edge of the growing bud, cell - cell borders show markedly diminished anti - E - cadherin labeling ( arrowheads).	"cell - cell borders	40	59	GO_ontology"	"[{""token"": ""cell - cell borders"", ""start_span"": 40, ""end_span"": 59, ""type"": ""GO_ontology""}]"
( C) Immunofluorescence of Tg skin section labeled with antibodies as color - coded on frame.	"antibodies	56	66	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 56, ""end_span"": 66, ""type"": ""GO_ontology""}]"
( D - I) Sections of P3 WT or Tg skin ( affected region) subjected to either immunofluorescence ( D, E, H, and I) or immunohistochemistry ( F and G) with antibodies as indicated on the panel.	"antibodies	154	164	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 154, ""end_span"": 164, ""type"": ""GO_ontology""}]"
All other antibodies are as in the legend to Figure 2.	"antibodies	10	20	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 10, ""end_span"": 20, ""type"": ""GO_ontology""}]"
Alterations in the Differentiation Program and Basement Membrane Organization in Snail - Expressing Tg Epidermis	"Basement Membrane	47	64	GO_ontology"	"[{""token"": ""Basement Membrane"", ""start_span"": 47, ""end_span"": 64, ""type"": ""GO_ontology""}]"
Sections were labeled with antibodies as indicated and color - coded on each frame.	"antibodies	27	37	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 27, ""end_span"": 37, ""type"": ""GO_ontology""}]"
( I - N) Immunohistochemistry ( I and J) or immunofluorescence ( K - N) of sections of P30 Wt ( I, K, and M) and Tg ( J, L, and N) ( affected areas) skins using the antibodies indicated.	"antibodies	165	175	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 165, ""end_span"": 175, ""type"": ""GO_ontology""}]"
Insets in I and J are magnified views of the boxed areas, illustrating the absence ( Wt) or presence ( Tg) of nuclear anti - cyclin D staining.	"nuclear	110	117	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 110, ""end_span"": 117, ""type"": ""GO_ontology""}]"
Snail - Mediated Remodeling of AJs Contributes to Hyperproliferation	"AJs	31	34	GO_ontology"	"[{""token"": ""AJs"", ""start_span"": 31, ""end_span"": 34, ""type"": ""GO_ontology""}]"
2 d after transfection, cells were switched from low - calcium growth medium to high - calcium medium for 6 h to induce AJ formation.	"AJ	120	122	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 120, ""end_span"": 122, ""type"": ""GO_ontology""}]"
Cells were stained with antibodies as indicated on the panels.	"antibodies	24	34	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 24, ""end_span"": 34, ""type"": ""GO_ontology""}]"
Arrowheads point to sites of intercellular contact between a Snail - transfected keratinocyte and its neighboring untransfected cell.	"sites of intercellular contact	20	50	GO_ontology"	"[{""token"": ""sites of intercellular contact"", ""start_span"": 20, ""end_span"": 50, ""type"": ""GO_ontology""}]"
Note the presence of Ajuba only under conditions where levels of alpha - catenin and other AJ proteins were aberrantly low or absent.	"AJ	91	93	GO_ontology"	"[{""token"": ""AJ"", ""start_span"": 91, ""end_span"": 93, ""type"": ""GO_ontology""}]"
48 h posttransfection, protein extracts were prepared and subjected to SDS - PAGE and Western blot analyses with antibodies against pMAPK, total MAPK, Ajuba ( also recognizing the smaller, pre - LIM domain), and Snail.	"antibodies	113	123	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 113, ""end_span"": 123, ""type"": ""GO_ontology""}]"
Using Western blot analyses, cellular proteins were then analyzed for Snail, LEF - 1, beta - catenin, and tubulin.	"tubulin	106	113	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 106, ""end_span"": 113, ""type"": ""GO_ontology""}]"
Primary keratinocytes were treated for the indicated times with recombinant TGF - beta 2 ( +) or heat inactivated TGF - beta 2 ( -). Total cellular proteins were then isolated and analyzed by Western blot for Snail, pSMAD2 ( reflective of activated TGF - signaling), and tubulin.	"tubulin	271	278	GO_ontology"	"[{""token"": ""tubulin"", ""start_span"": 271, ""end_span"": 278, ""type"": ""GO_ontology""}]"
Synaptogenesis and outer segment formation are perturbed in the neural retina of Crx mutant mice	"outer segment	19	32	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 19, ""end_span"": 32, ""type"": ""GO_ontology""}]"
Outer segment morphogenesis was found to be blocked at the elongation stage, leading to a failure in production of the phototransduction apparatus.	"Outer segment	0	13	GO_ontology"	"[{""token"": ""Outer segment"", ""start_span"": 0, ""end_span"": 13, ""type"": ""GO_ontology""}]"
Loss of function mutations in rhodopsin [ 29], or the structural protein, peripherin [ 30], result in an inability to form outer segments.	"outer segments	123	137	GO_ontology"	"[{""token"": ""outer segments"", ""start_span"": 123, ""end_span"": 137, ""type"": ""GO_ontology""}]"
The factors regulating the formation of the photoreceptor synapses are completely unknown.	"synapses	58	66	GO_ontology"	"[{""token"": ""synapses"", ""start_span"": 58, ""end_span"": 66, ""type"": ""GO_ontology""}]"
At least one photoreceptor synaptic protein, HRG4, contains a potential Crx target sequence in its transcriptional regulatory sequence [ 33].	"synaptic	27	35	GO_ontology"	"[{""token"": ""synaptic"", ""start_span"": 27, ""end_span"": 35, ""type"": ""GO_ontology""}]"
Certain features of neuronal differentiation, such as synapse formation, can be detected definitively at this level of analysis.	"synapse	54	61	GO_ontology"	"[{""token"": ""synapse"", ""start_span"": 54, ""end_span"": 61, ""type"": ""GO_ontology""}]"
Crx - / - photoreceptors demonstrate a complete block in outer segment formation at the elongation stage.	"outer segment	57	70	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 57, ""end_span"": 70, ""type"": ""GO_ontology""}]"
Further, these cells exhibit abnormal synaptic morphology, thereby broadening the function of Crx to photoreceptor synaptogenesis.	"synaptic	38	46	GO_ontology"	"[{""token"": ""synaptic"", ""start_span"": 38, ""end_span"": 46, ""type"": ""GO_ontology""}]"
This represents the first report strongly implicating the process of synapse formation in LCA.	"synapse	69	76	GO_ontology"	"[{""token"": ""synapse"", ""start_span"": 69, ""end_span"": 76, ""type"": ""GO_ontology""}]"
Multiple pathologies in the outer segment layer in Crx - / - mice	"outer segment	28	41	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 28, ""end_span"": 41, ""type"": ""GO_ontology""}]"
Transmission electron micrograph of the outer segment layer of Crx - / - retina at P21.	"outer segment	40	53	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 40, ""end_span"": 53, ""type"": ""GO_ontology""}]"
At P21, in Crx - / - retinas, numerous cross sections of connecting cilia were noted ( Figure 3A and 3B).	"connecting cilia	57	73	GO_ontology"	"[{""token"": ""connecting cilia"", ""start_span"": 57, ""end_span"": 73, ""type"": ""GO_ontology""}]"
For example, in Figure 3A, the connecting cilium labelled by arrowhead 1, shows 7 + 0 doublets.	"connecting cilium	31	48	GO_ontology"	"[{""token"": ""connecting cilium"", ""start_span"": 31, ""end_span"": 48, ""type"": ""GO_ontology""}]"
These observations indicate that in addition to inner segment formation, ciliogenesis is also largely intact in Crx - / - photoreceptors.	"inner segment	48	61	GO_ontology"	"[{""token"": ""inner segment"", ""start_span"": 48, ""end_span"": 61, ""type"": ""GO_ontology""}]"
Transmission electron micrograph of Crx - / - retina at P21 ( A and B), and scanning electron micrograph of Crx - / - at P10 ( C) of outer segment layer.	"outer segment	133	146	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 133, ""end_span"": 146, ""type"": ""GO_ontology""}]"
Nonmotile connecting cilia were observed in cross section ( arrowheads 1, 2, and 3, for examples).	"Nonmotile connecting cilia	0	26	GO_ontology"	"[{""token"": ""Nonmotile connecting cilia"", ""start_span"": 0, ""end_span"": 26, ""type"": ""GO_ontology""}]"
Figure shows inner segments viewed from the scleral side with the pigmented epithelium removed.	"inner segments	13	27	GO_ontology"	"[{""token"": ""inner segments"", ""start_span"": 13, ""end_span"": 27, ""type"": ""GO_ontology""}]"
First, an abnormal deposition of matrix of unknown identity was noted ( Figure 3A, mx).	"matrix	33	39	GO_ontology"	"[{""token"": ""matrix"", ""start_span"": 33, ""end_span"": 39, ""type"": ""GO_ontology""}]"
In order to characterize further the morphogenesis of Crx - / - photoreceptors, the developing outer segment layer was viewed by scanning electron microscopy at P7, P14 and P21 ( Figure 4).	"outer segment	95	108	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 95, ""end_span"": 108, ""type"": ""GO_ontology""}]"
These putative, abnormal outer segments were only rarely noted in Crx + / + at P14, and never at P21 ( Figure 4C and 4E, cc *).	"outer segments	25	39	GO_ontology"	"[{""token"": ""outer segments"", ""start_span"": 25, ""end_span"": 39, ""type"": ""GO_ontology""}]"
Further, in Crx - / - photoreceptors, unusually long connecting cilia were noted ( Figure 4F, cc).	"connecting cilia	53	69	GO_ontology"	"[{""token"": ""connecting cilia"", ""start_span"": 53, ""end_span"": 69, ""type"": ""GO_ontology""}]"
Outer segment morphogenesis in Crx - / - photoreceptors.	"Outer segment	0	13	GO_ontology"	"[{""token"": ""Outer segment"", ""start_span"": 0, ""end_span"": 13, ""type"": ""GO_ontology""}]"
After P7, in Crx + / + outer segment elongation occurs.	"outer segment	23	36	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 23, ""end_span"": 36, ""type"": ""GO_ontology""}]"
Initially, outer segments have a paddle - like structure ( C, os) which is later shed ( E, os).	"outer segments	11	25	GO_ontology"	"[{""token"": ""outer segments"", ""start_span"": 11, ""end_span"": 25, ""type"": ""GO_ontology""}]"
In Crx - / - photoreceptors, few connecting cilia were observed at P7 ( B, cc).	"connecting cilia	33	49	GO_ontology"	"[{""token"": ""connecting cilia"", ""start_span"": 33, ""end_span"": 49, ""type"": ""GO_ontology""}]"
At P21, abnormally long connecting cilia are noted in Crx - / - ( F, cc).	"connecting cilia	24	40	GO_ontology"	"[{""token"": ""connecting cilia"", ""start_span"": 24, ""end_span"": 40, ""type"": ""GO_ontology""}]"
Loss of function mutations in each of these genes separately have been reported to result in a failure to elaborate outer segments [ 29, 30].	"outer segments	116	130	GO_ontology"	"[{""token"": ""outer segments"", ""start_span"": 116, ""end_span"": 130, ""type"": ""GO_ontology""}]"
Crx is necessary for the formation of photoreceptor terminals	"terminals	52	61	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 52, ""end_span"": 61, ""type"": ""GO_ontology""}]"
In a previous study, we demonstrated that forced expression of a dominant - negative allele of Crx in developing rods blocked formation of both rod spherules in the outer plexiform layer ( OPL) and outer segments [ 7].	"outer segments	198	212	GO_ontology"	"[{""token"": ""outer segments"", ""start_span"": 198, ""end_span"": 212, ""type"": ""GO_ontology""}]"
To expand on these studies, the ultrastructure of photoreceptor synapses was examined in Crx - / - retinas.	"synapses	64	72	GO_ontology"	"[{""token"": ""synapses"", ""start_span"": 64, ""end_span"": 72, ""type"": ""GO_ontology""}]"
The sperules were blunt or club - shaped structures with a single ribbon associated with a single invaginating synapse ( Figure 7A, arrow indicates one example; Figure 8A and 8B).	"synapse	111	118	GO_ontology"	"[{""token"": ""synapse"", ""start_span"": 111, ""end_span"": 118, ""type"": ""GO_ontology""}]"
These terminals were much less common than spherules in Crx + / + retinas at P21 ( Figure 7, box).	"terminals	6	15	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 6, ""end_span"": 15, ""type"": ""GO_ontology""}]"
In the OPL of Crx - / - retinas, photoreceptor terminals were highly disorganized at P21 ( Figure 7B, arrows).	"terminals	47	56	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 47, ""end_span"": 56, ""type"": ""GO_ontology""}]"
The spherules were club - shaped and contained a single invaginating synapse with one ribbon complex.	"synapse	69	76	GO_ontology"	"[{""token"": ""synapse"", ""start_span"": 69, ""end_span"": 76, ""type"": ""GO_ontology""}]"
These terminals were more scarce, but apparent in Crx + / + retinas at P21 ( one example in box).	"terminals	6	15	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 6, ""end_span"": 15, ""type"": ""GO_ontology""}]"
( B) In the outer plexiform layer ( OPL) of Crx - / - retinas, photoreceptor terminals appeared highly disorganized at P21 ( arrows).	"terminals	77	86	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 77, ""end_span"": 86, ""type"": ""GO_ontology""}]"
Many terminals appeared to contain multiple ribbon - like structures, instead of a singule ribbon.	"terminals	5	14	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 5, ""end_span"": 14, ""type"": ""GO_ontology""}]"
( A) Crx + / + rod spherules contained a single invaginating synapse with one ribbon complex.	"synapse	61	68	GO_ontology"	"[{""token"": ""synapse"", ""start_span"": 61, ""end_span"": 68, ""type"": ""GO_ontology""}]"
( B) Crx + / + rod terminals contained a single ribbon structure ( r).	"terminals	19	28	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 19, ""end_span"": 28, ""type"": ""GO_ontology""}]"
Two processes, from horizontal cells ( h), contacted the rod laterally.	"processes	4	13	GO_ontology"	"[{""token"": ""processes"", ""start_span"": 4, ""end_span"": 13, ""type"": ""GO_ontology""}]"
An additional process, the postsynaptic bipolar dendrite ( b), was situated more centrally.	"dendrite	48	56	GO_ontology"	"[{""token"": ""dendrite"", ""start_span"": 48, ""end_span"": 56, ""type"": ""GO_ontology""}]"
( C) In the OPL of Crx - / - retinas, photoreceptor terminals appeared highly disorganized.	"terminals	52	61	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 52, ""end_span"": 61, ""type"": ""GO_ontology""}]"
Further, many terminals appeared to contain multiple ribbon - like structures ( r).	"terminals	14	23	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 14, ""end_span"": 23, ""type"": ""GO_ontology""}]"
Crx - / - photoreceptors cannot complete outer segment morphogenesis	"outer segment	41	54	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 41, ""end_span"": 54, ""type"": ""GO_ontology""}]"
Mutations in Crx represent one of a collection of gene mutations that lead to an outer segment formation defect.	"outer segment	81	94	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 81, ""end_span"": 94, ""type"": ""GO_ontology""}]"
Homozygous null mutations in the peripherin / RDS gene [ 36] or in rhodopsin [ 29] lead to a failure of outer segment formation.	"outer segment	104	117	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 104, ""end_span"": 117, ""type"": ""GO_ontology""}]"
Vesicular structures in Crx - / - photoreceptors were observed that were similar to those previously noted in the rds / peripherin - / - mouse.	"Vesicular structures	0	20	GO_ontology"	"[{""token"": ""Vesicular structures"", ""start_span"": 0, ""end_span"": 20, ""type"": ""GO_ontology""}]"
Strong support in favor of the former explanation was provided by Nir and colleagues who demonstrated the presence of rhodopsin protein in these vesicles using immunoelectron microscopy against a rhodopsin epitope [ 37].	"vesicles	145	153	GO_ontology"	"[{""token"": ""vesicles"", ""start_span"": 145, ""end_span"": 153, ""type"": ""GO_ontology""}]"
Peripherin / RDS and ROM - 1 proteins ( localized in disc rims) and the opsin proteins ( localized throughout the discs) have important roles in the structural integrity of mature outer segments ( see [ 39, 29]).	"outer segments	180	194	GO_ontology"	"[{""token"": ""outer segments"", ""start_span"": 180, ""end_span"": 194, ""type"": ""GO_ontology""}]"
ROM - 1 - / - mice produce disorganized outer segments with large disks [ 40].	"outer segments	40	54	GO_ontology"	"[{""token"": ""outer segments"", ""start_span"": 40, ""end_span"": 54, ""type"": ""GO_ontology""}]"
